,Date,TSLA,NIO
0,2022-01-03,1136.0400390625,31.8799991607666
1,2022-01-04,1123.050048828125,31.110000610351562
2,2022-01-05,1081.010009765625,29.780000686645508
3,2022-01-06,1020.5,28.280000686645508
4,2022-01-07,1010.0,28.780000686645508
5,2022-01-10,980.0,27.780000686645508
6,2022-01-11,1038.8199462890625,28.469999313354492
7,2022-01-12,1072.5899658203125,30.34000015258789
8,2022-01-13,1026.5400390625,30.479999542236328
9,2022-01-14,1013.3800048828125,30.079999923706055
10,2022-01-18,1016.0599975585938,29.600000381469727
11,2022-01-19,995.0,28.610000610351562
12,2022-01-20,994.0,29.049999237060547
13,2022-01-21,940.5,27.219999313354492
14,2022-01-24,851.469970703125,23.100000381469727
15,2022-01-25,903.2100219726562,23.3799991607666
16,2022-01-26,906.0,22.530000686645508
17,2022-01-27,829.0,20.959999084472656
18,2022-01-28,792.010009765625,19.309999465942383
19,2022-01-31,862.0499877929688,21.600000381469727
20,2022-02-01,905.0,23.559999465942383
21,2022-02-02,889.4099731445312,23.010000228881836
22,2022-02-03,880.52001953125,22.950000762939453
23,2022-02-04,881.1699829101562,22.729999542236328
24,2022-02-07,902.7100219726562,23.530000686645508
25,2022-02-08,894.7999877929688,23.540000915527344
26,2022-02-09,920.0,25.049999237060547
27,2022-02-10,896.7000122070312,25.020000457763672
28,2022-02-11,850.7000122070312,23.700000762939453
29,2022-02-14,853.1500244140625,23.34000015258789
30,2022-02-15,893.3800048828125,24.200000762939453
31,2022-02-16,901.2100219726562,25.049999237060547
32,2022-02-17,874.0999755859375,24.649999618530273
33,2022-02-18,837.6099853515625,22.739999771118164
34,2022-02-22,801.0999755859375,21.31999969482422
35,2022-02-23,760.5599975585938,20.450000762939453
36,2022-02-24,700.0,18.469999313354492
37,2022-02-25,782.4000244140625,20.190000534057617
38,2022-02-28,814.7100219726562,20.940000534057617
39,2022-03-01,853.780029296875,21.729999542236328
40,2022-03-02,844.27001953125,20.6299991607666
41,2022-03-03,832.5999755859375,19.719999313354492
42,2022-03-04,825.1599731445312,18.549999237060547
43,2022-03-07,804.5700073242188,18.040000915527344
44,2022-03-08,782.1699829101562,17.579999923706055
45,2022-03-09,832.010009765625,18.510000228881836
46,2022-03-10,810.3599853515625,17.219999313354492
47,2022-03-11,793.77001953125,16.06999969482422
48,2022-03-14,756.0399780273438,13.819999694824219
49,2022-03-15,756.5700073242188,13.010000228881836
50,2022-03-16,802.260009765625,16.780000686645508
51,2022-03-17,825.719970703125,17.440000534057617
52,2022-03-18,867.3900146484375,18.549999237060547
53,2022-03-21,907.0900268554688,19.329999923706055
54,2022-03-22,921.75,20.59000015258789
55,2022-03-23,976.4000244140625,20.889999389648438
56,2022-03-24,988.7999877929688,20.65999984741211
57,2022-03-25,997.3200073242188,19.350000381469727
58,2022-03-28,1053.5999755859375,20.31999969482422
59,2022-03-29,1073.1099853515625,21.020000457763672
60,2022-03-30,1084.0,21.6299991607666
61,2022-03-31,1076.6400146484375,20.760000228881836
62,2022-04-01,1066.6400146484375,21.559999465942383
63,2022-04-04,1072.530029296875,22.780000686645508
64,2022-04-05,1087.300048828125,22.440000534057617
65,2022-04-06,1027.699951171875,20.93000030517578
66,2022-04-07,1021.5399780273438,19.729999542236328
67,2022-04-08,1022.4400024414062,19.829999923706055
68,2022-04-11,974.6400146484375,17.770000457763672
69,2022-04-12,976.5999755859375,19.219999313354492
70,2022-04-13,973.0999755859375,19.030000686645508
71,2022-04-14,982.1900024414062,19.530000686645508
72,2022-04-18,973.4099731445312,18.510000228881836
73,2022-04-19,995.3300170898438,18.360000610351562
74,2022-04-20,975.25,18.06999969482422
75,2022-04-21,996.4199829101562,16.979999542236328
76,2022-04-22,994.0,17.1200008392334
77,2022-04-25,975.2999877929688,16.18000030517578
78,2022-04-26,875.0,16.15999984741211
79,2022-04-27,877.3599853515625,16.520000457763672
80,2022-04-28,821.7000122070312,15.90999984741211
81,2022-04-29,870.0,16.65999984741211
82,2022-05-02,848.030029296875,16.399999618530273
83,2022-05-03,888.5900268554688,16.950000762939453
84,2022-05-04,885.280029296875,16.719999313354492
85,2022-05-05,857.7000122070312,14.869999885559082
86,2022-05-06,843.1099853515625,14.460000038146973
87,2022-05-09,781.1500244140625,13.479999542236328
88,2022-05-10,774.25,12.859999656677246
89,2022-05-11,727.2000122070312,12.640000343322754
90,2022-05-12,680.0,11.670000076293945
91,2022-05-13,751.5700073242188,13.539999961853027
92,2022-05-16,719.0900268554688,14.279999732971191
93,2022-05-17,728.8499755859375,15.260000228881836
94,2022-05-18,700.8099975585938,15.65999984741211
95,2022-05-19,694.1099853515625,15.789999961853027
96,2022-05-20,633.0,15.680000305175781
97,2022-05-23,638.0599975585938,15.239999771118164
98,2022-05-24,620.5700073242188,14.399999618530273
99,2022-05-25,623.010009765625,14.09000015258789
100,2022-05-26,653.6599731445312,14.329999923706055
101,2022-05-27,720.530029296875,15.670000076293945
102,2022-05-31,734.22998046875,16.760000228881836
103,2022-06-01,730.9199829101562,17.479999542236328
104,2022-06-02,726.2000122070312,16.989999771118164
105,2022-06-03,700.25,17.809999465942383
106,2022-06-06,703.0499877929688,18.799999237060547
107,2022-06-07,690.280029296875,18.600000381469727
108,2022-06-08,717.530029296875,19.860000610351562
109,2022-06-09,717.97998046875,18.450000762939453
110,2022-06-10,683.739990234375,17.809999465942383
111,2022-06-13,644.0499877929688,15.84000015258789
112,2022-06-14,635.2100219726562,16.489999771118164
113,2022-06-15,654.4500122070312,18.18000030517578
114,2022-06-16,626.0800170898438,18.469999313354492
